Day,Description,Temperature
Tonight,A clear sky and a gentle breeze,Low29° 84°
Wednesday 19th AprilWed 19th,Sunny and a moderate breeze,High36° 97°Low26° 78°
Thursday 20th AprilThu 20th,Sunny and a moderate breeze,High35° 94°Low24° 76°
Friday 21st AprilFri 21st,Sunny and a moderate breeze,High33° 91°Low24° 75°
Saturday 22nd AprilSat 22nd,Sunny and a moderate breeze,High32° 90°Low23° 74°
Sunday 23rd AprilSun 23rd,Sunny and a gentle breeze,High33° 91°Low24° 76°
Monday 24th AprilMon 24th,Sunny and a gentle breeze,High34° 93°Low25° 77°
Tuesday 25th AprilTue 25th,Sunny and a moderate breeze,High34° 92°Low25° 77°
Wednesday 26th AprilWed 26th,Sunny and a moderate breeze,High33° 91°Low25° 77°
Thursday 27th AprilThu 27th,Sunny and a gentle breeze,High33° 92°Low26° 78°
Friday 28th AprilFri 28th,Sunny and a gentle breeze,High34° 93°Low25° 78°
Saturday 29th AprilSat 29th,Sunny and a gentle breeze,High34° 94°Low25° 77°
Sunday 30th AprilSun 30th,Sunny and a moderate breeze,High34° 93°Low26° 78°
Monday 1st MayMon 1st,Sunny and a gentle breeze,High34° 93°Low26° 78°
